month,total_rainfall,no_of_rainy_days,mean_sunshine_hrs,date,year,condition
Mar,92.4,10,7.1,1991-03-01,1991,not conducive
Apr,134.2,13,5.8,1991-04-01,1991,not conducive
May,256.4,23,5.1,1991-05-01,1991,not conducive
Jun,88.7,9,7.1,1991-06-01,1991,not conducive
Jul,37.3,8,6.7,1991-07-01,1991,not conducive
Aug,226.2,8,5.3,1991-08-01,1991,not conducive
Sep,123.1,12,4.1,1991-09-01,1991,not conducive
Oct,52.0,5,4.2,1991-10-01,1991,not conducive
Nov,205.0,19,3.5,1991-11-01,1991,not conducive
Dec,492.3,19,3.0,1991-12-01,1991,not conducive
Jan,83.9,9,6.6,1992-01-01,1992,not conducive
Feb,62.4,4,7.7,1992-02-01,1992,not conducive
Mar,67.6,6,7.4,1992-03-01,1992,not conducive
Apr,160.3,13,6.4,1992-04-01,1992,conducive
May,63.1,13,5.7,1992-05-01,1992,not conducive
Jun,162.8,14,5.5,1992-06-01,1992,not conducive
Jul,290.8,19,4.7,1992-07-01,1992,not conducive
Aug,76.1,11,5.7,1992-08-01,1992,not conducive
Sep,83.6,13,5.0,1992-09-01,1992,not conducive
Oct,233.2,20,4.5,1992-10-01,1992,not conducive
Nov,474.3,18,3.7,1992-11-01,1992,not conducive
Dec,502.7,23,3.4,1992-12-01,1992,not conducive
Jan,176.4,11,5.5,1993-01-01,1993,not conducive
Feb,69.2,8,8.5,1993-02-01,1993,not conducive
Mar,250.5,14,5.4,1993-03-01,1993,not conducive
Apr,283.9,20,6.4,1993-04-01,1993,conducive
May,129.9,10,6.0,1993-05-01,1993,conducive
Jun,115.5,17,6.2,1993-06-01,1993,conducive
Jul,240.0,15,5.2,1993-07-01,1993,not conducive
Aug,106.8,11,7.4,1993-08-01,1993,conducive
Sep,61.7,7,5.9,1993-09-01,1993,not conducive
Oct,175.5,13,5.2,1993-10-01,1993,not conducive
Nov,250.8,18,4.7,1993-11-01,1993,not conducive
Dec,308.5,19,4.2,1993-12-01,1993,not conducive
